trial_number,score,trail_mult,risk_per_trade,max_position_pct,atr_entry_early,atr_entry_extended,expectancy,profit_factor,avg_r,max_dd,dd_volatility,n_trades,VCP_n,VCP_expectancy,VCP_pf,VCP_winrate,PULLBACK_n,PULLBACK_expectancy,PULLBACK_pf,PULLBACK_winrate,BASE_n,BASE_expectancy,BASE_pf,BASE_winrate,RES_BREAKOUT_n,RES_BREAKOUT_expectancy,RES_BREAKOUT_pf,RES_BREAKOUT_winrate,HTF_n,HTF_expectancy,HTF_pf,HTF_winrate
1,-10.0,3.0139643821853173,0.5580836121681995,27.323522915498703,0.13218955199634552,0.7248435466776273,0.0,0.0,0.0,0.0,0.0,146,0,0.0,0.0,0.0,88,0.2653,2.5012,48.86,5,0.7518,10.1496,20.0,53,0.2026,1.5953,49.06,0,0.0,0.0,0.0
0,-10.0,4.434510772507856,1.4507143064099162,24.6398788362281,0.13177194231349623,0.39361118426546193,0.0,0.0,0.0,0.0,0.0,154,0,0.0,0.0,0.0,99,0.0731,1.3404,45.45,5,0.706,5.9018,20.0,50,-0.0071,1.2295,42.0,0,0.0,0.0,0.0
2,-10.0,2.1337992129227157,1.4699098521619942,26.648852816008436,0.06609764881530694,0.4090949803242604,0.0,0.0,0.0,0.0,0.0,147,0,0.0,0.0,0.0,86,0.2461,2.3853,48.84,6,0.5705,5.3962,16.67,55,0.1482,1.5868,47.27,0,0.0,0.0,0.0
3,-10.0,4.434510772507856,1.4507143064099162,24.6398788362281,0.13177194231349623,0.39361118426546193,0.0,0.0,0.0,0.0,0.0,91,0,0.0,0.0,0.0,67,0.2238,2.3013,52.24,2,3.58,9.8181,100.0,21,-0.4044,0.3956,23.81,1,-0.57,0.0,0.0
2,-10.0,3.0139643821853173,0.5580836121681995,27.323522915498703,0.13218955199634552,0.7248435466776273,0.0,0.0,0.0,0.0,0.0,158,0,0.0,0.0,0.0,103,0.0656,1.304,45.63,5,0.706,6.5136,20.0,50,-0.0071,1.0082,42.0,0,0.0,0.0,0.0
6,-10.0,4.434510772507856,1.4507143064099162,24.6398788362281,0.13177194231349623,0.39361118426546193,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,10,0.4767,4.5258,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
7,-10.0,3.0139643821853173,0.5580836121681995,27.323522915498703,0.13218955199634552,0.7248435466776273,0.0,0.0,0.0,0.0,0.0,11,0,0.0,0.0,0.0,11,0.4945,6.5132,63.64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,-10.0,4.1725648601295235,1.4652437288802729,25.554857305898363,0.13185919509051822,0.3525782818291011,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,10,0.4767,4.6099,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,-10.0,3.1921293140473197,0.8042422429595377,20.495128632644757,0.10343065316915968,0.47473748411882516,0.0,0.0,0.0,0.0,0.0,144,0,0.0,0.0,0.0,86,0.2607,2.4696,48.84,5,0.7518,10.151,20.0,53,0.198,1.7277,49.06,0,0.0,0.0,0.0
1,-10.0,3.716285359557924,0.8357605633010142,26.08408533655092,0.13186066900704593,0.5386204587172674,0.0,0.0,0.0,0.0,0.0,11,0,0.0,0.0,0.0,11,0.4945,6.5132,63.64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,-10.0,3.4335763071907763,1.4787804277446384,25.95103701958094,0.13162740346640697,0.3612750139487929,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,10,0.4767,4.6299,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,-10.0,3.773511935671999,1.009351629735066,24.737491842000708,0.13175916701118526,0.3981442202467401,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,10,0.4767,5.5568,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,-10.0,4.668026473601383,0.8931710705318199,23.820047708287753,0.13171981710597622,0.45369558468114113,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,10,0.4767,5.7231,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
